,hypervolume,epsilon_progress,nfe
0,0.0,0,0
1,0.0,13,100
2,0.0,113,1191
3,0.0,148,2286
4,0.0,168,3373
5,0.0,191,4464
6,0.0,203,5551
7,0.0,212,6643
8,0.0,216,7730
9,0.0,218,8826
10,0.0,220,9918
11,0.0,225,11004
12,0.0,231,12089
13,0.0,235,13184
14,0.0,237,14271
15,0.0,240,15357
16,0.0,242,16442
17,0.0,242,17531
18,0.0,243,18613
19,0.0,243,19706
20,0.0,243,20795
21,0.0,244,21885
22,0.0,245,22970
23,0.0,247,24059
24,0.0,248,25145
25,0.0,249,26233
26,0.0,250,27314
27,0.0,251,28403
28,0.0,252,29493
29,0.0,255,30583
30,0.0,256,31671
31,0.0,258,32759
32,0.0,259,33856
33,0.0,259,34940
34,0.0,262,36031
35,0.0,262,37114
36,0.0,265,38203
37,0.0,265,39283
38,0.0,266,40370
39,0.0,266,41453
40,0.0,266,42548
41,0.0,266,43641
42,0.0,267,44728
43,0.0,267,45817
44,0.0,268,46904
45,0.0,269,48003
46,0.0,269,49089
