,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.1_Expected Annual Damage,A.1_Dike Investment Costs,A.1_Expected Number of Deaths,A.2_Expected Annual Damage,A.2_Dike Investment Costs,A.2_Expected Number of Deaths,A.3_Expected Annual Damage,A.3_Dike Investment Costs,A.3_Expected Number of Deaths,A.4_Expected Annual Damage,A.4_Dike Investment Costs,A.4_Expected Number of Deaths,A.5_Expected Annual Damage,A.5_Dike Investment Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,2,0,8,6,5,9,0,1,10,7,6,0.0,66507014.9338145,0.0,1984873.2955273571,82526679.5239558,0.0008346919867695426,0.0,124462721.51685515,0.0,0.0,26696770.02353885,0.0,0.0,191318452.66405374,0.0,1081800000.0,63.67736115428107
1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,5,1,5,4,5,3,2,7,7,7,1,2,8,1,2,0.0,158676229.48838806,0.0,0.0,186050905.43448988,0.0,0.0,105073374.67696163,0.0,0.0,31851732.358506463,0.0,0.0,118538396.30586337,0.0,1299600000.0,0.0
2,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,5,5,2,6,4,9,5,3,0,7,8,0,9,9,7,0.0,169951219.49086463,0.0,0.0,257251097.76517347,0.0,0.0,57423135.62296812,0.0,0.0,34642037.493008405,0.0,0.0,205895970.1338907,0.0,1319200000.0,0.0
3,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,4,0,1,7,5,8,4,8,1,5,5,0,5,5,0,7,0.0,103162272.08375776,0.0,0.0,238141673.51656002,0.0,0.0,102811671.6963974,0.0,0.0,24162426.948826768,0.0,0.0,88954800.96600011,0.0,1164700000.0,0.0
4,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,3,3,5,5,0,0,0,5,0,3,6,2,9,1,2,1,0.0,172605360.86567047,0.0,19064740.7883242,0.0,0.002634933617651417,0.0,57423135.62296812,0.0,0.0,45295816.60173038,0.0,11425608.870697066,81250361.8241577,0.0015338374100198585,914300000.0,2145.3120384007325
5,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,2,2,1,3,9,6,4,6,2,7,6,0,0,4,1,1,0.0,118999454.50282377,0.0,0.0,267683805.1510744,0.0,0.0,103293254.77412635,0.0,0.0,12586457.998778107,0.0,0.0,91633377.77721499,0.0,721500000.0,0.0
6,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,4,9,10,0,1,6,1,3,1,5,7,7,4,4,4,6,0.0,213954315.08627382,0.0,1974604.084532186,154933309.49099135,0.0002754249884924678,0.0,79591223.60465036,0.0,0.0,47823410.90026012,0.0,0.0,124249348.8828785,0.0,1080100000.0,152.66259221309576
7,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2,4,0,7,7,6,10,7,9,6,8,2,4,7,1,4,0.0,125788764.77143934,0.0,0.0,310913275.43592143,0.0,0.0,139349975.35927582,0.0,0.0,39269027.598442405,0.0,0.0,119540040.00152239,0.0,533000000.0,0.0
8,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,8,10,5,6,0,7,4,1,3,4,3,9,6,4,7,0.0,299554401.7402784,0.0,0.0,155736187.608082,0.0,0.0,78247463.63258468,0.0,0.0,42319824.7635092,0.0,0.0,142947562.0063744,0.0,710400000.0,0.0
9,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,3,1,4,1,6,8,7,1,10,1,2,2,10,6,6,0.0,133184765.95309454,0.0,4485248.053666991,209376116.85982177,0.000790318405693975,0.0,117754086.95265552,0.0,796356.3174442814,22013110.966710176,7.76440220176444e-05,0.0,183477382.51252156,0.0,540600000.0,291.44633079547066
10,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,4,6,1,6,6,5,6,2,9,7,0,7,3,1,7,3,0.0,177532123.52496576,0.0,0.0,234302505.52961767,0.0,0.0,115123504.64942181,0.0,487966.831168142,24956580.074387155,3.480385383555983e-05,0.0,110452595.25512816,0.0,869900000.0,50.36087137358963
11,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,2,0,4,6,6,2,6,6,7,4,3,5,10,3,0,1,0.0,117299462.54481953,0.0,0.0,204840358.9022567,0.0,0.0,114129776.63094811,0.0,0.0,47366817.10644014,0.0,0.0,58044072.09764524,0.0,1080100000.0,0.0
12,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,4,2,3,5,10,0,3,6,0,0,3,9,3,2,3,10,0.0,146332417.8631447,0.0,0.0,166473553.722367,0.0,0.0,31398797.71871161,0.0,0.0,41173187.97334711,0.0,1325734.3394873089,128858733.99968585,0.00017969859899490348,710400000.0,117.94777406494914
13,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,2,3,9,2,6,8,3,2,1,2,8,3,7,0,0,1,0.0,192354980.57622364,0.0,0.0,242055187.44034055,0.0,0.0,68396931.50504743,0.0,0.0,47808129.64895716,0.0,13338019.654912172,25037214.086173728,0.00221451930571816,1287600000.0,832.6703863232353
14,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,4,8,7,5,3,4,3,9,6,2,7,9,5,2,8,0,0.0,254793986.62947148,0.0,0.0,167388993.22428545,0.0,0.0,119789879.02830844,0.0,0.0,56165405.53860082,0.0,1325734.3394873089,79410612.48799065,0.00017969859899490348,679700000.0,117.94777406494914
15,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,4,0,0,5,1,9,9,6,5,1,9,4,2,3,0.0,82177854.37813279,0.0,6321549.1344495425,104651657.86617124,0.007243296898299825,0.0,153044873.59901068,0.0,0.0,40742593.74417308,0.0,0.0,102053281.70321563,0.0,741100000.0,0.0
16,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,3,4,8,2,6,0,10,10,2,5,10,10,2,0,0,0.0,191744677.10089743,0.0,0.0,113454271.89419729,0.0,0.0,149494730.55215088,0.0,0.0,68924945.88809776,0.0,33859972.506930575,27578229.96765524,0.013804607614681223,1380600000.0,1249.163603671634
17,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,4,1,4,3,7,1,10,3,1,4,0,10,10,6,0.0,85246019.34861892,0.0,0.0,200839363.58694053,0.0,1034534.9555870628,101043492.13224283,0.0008139393709290616,0.0,16347288.792964684,0.0,0.0,218447333.1068446,0.0,865900000.0,27.278160415419947
18,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,2,1,10,8,3,5,3,6,6,3,9,8,7,3,3,0,0.0,241468786.6583324,0.0,0.0,176150639.31065077,0.0,0.0,106025710.87762618,0.0,0.0,65189782.66211904,0.0,0.0,63921995.57957761,0.0,1646200000.0,0.0
