,epsilon_progress,nfe
0,0,0
1,8,100
2,45,1194
3,86,2290
4,139,3387
5,198,4482
6,226,5576
7,243,6664
8,259,7749
9,260,8831
10,264,9918
11,264,11009
12,267,12096
13,269,13175
14,269,14258
15,271,15339
16,273,16428
17,273,17512
18,273,18593
19,273,19670
20,274,20758
21,275,21848
22,276,22938
23,277,24017
24,277,25099
25,277,26185
26,277,27273
27,277,28355
28,277,29443
29,277,30531
30,277,31616
31,279,32701
32,279,33787
33,281,34871
34,282,35958
35,283,37050
36,283,38134
37,283,39216
38,283,40306
39,283,41392
40,283,42478
41,284,43556
42,284,44642
43,284,45724
44,285,46813
45,286,47905
46,286,48993
