,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,4,0,0,2,0,0,2,0,0,927.6728368383036,141850317.3356238,47357135.48765299,0.012467655613322842,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,7747.951944038569,67876429.13251388,219604869.42789948,0.022893357149836792,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0.0,66755101.655427605,219604869.42789948,0.1526223809989119,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0.0,92913643.21868761,124810559.7996108,0.08850216439745162,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4667.001641585586,68785315.90798524,219604869.42789948,0.05494405715960829,0.0,0.0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0.0,100324497.54279758,74980319.23264419,0.05331689293657739,62572545.168718524,0.08328614626720102
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14660.441036033804,32694901.094161935,279654132.8408128,0.026492991777472302,236618296.33745986,0.047194018467676305
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30700000.0,531792353.88461775,0.2918264359287601,0.0,0.0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4233.345752765767,99313217.63294205,75961359.75534037,0.00805533912074139,62572545.168718524,0.012492921940080153
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,5710.426863424755,67774035.9981297,208962406.0050615,0.052347219288335814,78872765.44581996,0.03775521477414104
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10487.646366598636,30700000.0,531792353.88461775,0.03501917231145121,0.0,0.0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8830.759776999186,32694901.094161935,279654132.8408128,0.0635831802659335,236618296.33745986,0.11326564432242311
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2358.802430086298,105638809.49900383,67722651.14351305,0.01740559590062244,62572545.168718524,0.029983012656192368
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5084.919450472067,30700000.0,531792353.88461775,0.10505751693435363,0.0,0.0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,11777.755405813556,67774035.9981297,208962406.0050615,0.01744907309611194,78872765.44581996,0.012585071591380347
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,32694901.094161935,279654132.8408128,0.17661994518314858,236618296.33745986,0.31462678978450864
16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2396.3824905550655,62058014.395839974,419956983.6790613,0.08072787213639074,0.0,0.0
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8441.760806447764,30700000.0,531792353.88461775,0.043773965389314023,0.0,0.0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0.0,67876429.13251388,208962406.0050615,0.14540894246759947,78872765.44581996,0.10487559659483622
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0.0,65743821.745572075,198319942.5822235,0.13819550393628705,157745530.89163992,0.20975119318967245
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,10106.207782476093,63875291.174089015,208962406.0050615,0.021811341370139924,102195897.66898088,0.020435678331899507
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,4,0,0,2468.3417078017947,100132218.2126247,124810559.7996108,0.03186077918308258,0.0,0.0
22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4942.538886769822,62058014.395839974,419956983.6790613,0.026909290712130253,0.0,0.0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11487.571901443516,67328719.74055001,146352596.79737842,0.014413212209499683,236618296.33745986,0.047194018467676305
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6337.914134970066,68613217.63294205,124810559.7996108,0.03186077918308258,236618296.33745986,0.11326564432242311
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.0,68613217.63294205,124810559.7996108,0.08850216439745162,236618296.33745986,0.31462678978450864
