,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3406.4007760390004,132554233.51442356,28202626.252838504,0.0035075310945191446,25966728.47359944,0.006739507852826732
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5871.9399143946175,32694901.094161935,101615287.27421875,0.03843365241244428,110251932.28791106,0.08605453354880085
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,1,0,0,3,0,0,0.0,145968261.6036098,10774383.3244113,0.008143264871219354,6333228.623603873,0.0142456671253599
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4357.858807503131,85097902.80020219,30602654.689849846,0.010825436258244678,120520017.87258536,0.09482497023884322
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,56892933.545523316,101615287.27421875,0.10676014559012299,0.0,0.0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729.06087868824,30700000.0,218935003.10607097,0.06836485165987824,16858740.91537672,0.013102357355719168
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5379.459982570066,43576003.54676832,73962772.52256171,0.030372081066760304,110251932.28791106,0.08605453354880085
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3570.94890789899,110135116.88637592,9687312.682023847,0.0024965618972529525,120520017.87258536,0.09482497023884322
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,62292417.323275805,68960034.08490917,0.07552509858627879,110251932.28791106,0.2390403709688913
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,92992417.3232758,44469674.02124442,0.04373917675600218,42830182.451286234,0.09297998486918316
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0.0,132975420.39517812,19760402.74621244,0.014073079404756796,60248825.27173919,0.13340212541630747
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4945.6620521293335,68613217.63294205,62471089.34987533,0.025814536246318992,110251932.28791106,0.08605453354880085
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0.0,131831250.48045012,22452093.36650528,0.026442874527349274,56704339.23634188,0.12542230678175997
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5911.922550700683,6320800.309666242,252461698.9104512,0.08301340369763917,97680307.15501529,0.07608933776620595
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5659.740860693639,37255203.23710208,80451717.25759555,0.031746580311501675,110251932.28791106,0.08605453354880085
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5016.263052758026,75500325.18886614,51183882.40544632,0.0195305281348341,120359029.07254264,0.09459517573215329
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3721.5438983770155,52994188.72148262,101615287.27421875,0.03843365241244428,29751268.585980065,0.023525607613709285
17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0.0,119612505.26026274,32875501.896425363,0.036940145976629084,13633414.216559803,0.029829660050866194
18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,88432115.18033567,65633244.037867606,0.0623143770363983,42830182.451286234,0.09297998486918316
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2278.969493992008,50999287.62732069,218935003.10607097,0.06836485165987824,0.0,0.0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,257271563.36801678,0.23338234494214977,97680307.15501529,0.21135927157279433
21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30700000.0,218935003.10607097,0.18990236572188401,16858740.91537672,0.03639543709921991
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2519.249883448609,37020800.309666246,214125138.64850542,0.0673606111783435,16858740.91537672,0.013102357355719168
