,epsilon_progress,nfe
0,0,0
1,6,100
2,30,1195
3,106,2289
4,262,3384
5,432,4480
6,542,5566
7,612,6657
8,653,7744
9,679,8830
10,706,9916
11,709,11382
12,722,12450
13,755,13513
14,793,14579
15,829,15644
16,853,16701
17,873,17752
18,889,18795
19,905,19838
20,913,20879
21,929,21932
22,937,22982
23,949,24038
24,957,25090
25,970,26146
26,982,27190
27,987,28234
28,998,29292
29,1008,30352
30,1013,31407
31,1018,32468
32,1023,33526
33,1026,34576
34,1027,35633
35,1030,36685
36,1035,37737
37,1039,38785
38,1040,39843
39,1041,40894
40,1042,41950
41,1045,42998
42,1046,44048
43,1048,45103
44,1049,46151
45,1049,47210
46,1051,48264
47,1052,49320
