,epsilon_progress,nfe
0,0,0
1,2,100
2,40,1197
3,76,2295
4,158,3388
5,228,4482
6,273,5577
7,305,6669
8,332,7758
9,352,8847
10,373,9940
11,382,11144
12,400,12157
13,424,13164
14,446,14415
15,460,15420
16,469,16425
17,475,17432
18,480,18439
19,489,19446
20,493,20696
21,495,21699
22,501,22701
23,505,23703
24,506,24708
25,510,25711
26,514,26720
27,517,27721
28,518,28725
29,520,29731
30,522,30737
31,524,31746
32,524,32752
33,526,33760
34,527,34761
35,528,35765
36,528,36771
37,529,37776
38,529,38785
39,529,39791
40,529,40792
41,531,41799
42,532,42807
43,532,43816
44,532,45064
45,535,46070
46,535,47075
47,537,48078
48,538,49326
