,epsilon_progress,nfe
0,0,0
1,3,100
2,16,1198
3,22,2292
4,32,3390
5,38,4483
6,39,5574
7,39,6668
8,39,7757
9,39,8840
10,39,9925
11,39,11004
12,39,12093
13,39,13184
14,39,14272
15,39,15358
16,39,16446
17,39,17532
18,39,18621
19,39,19709
20,39,20798
21,39,21880
22,39,22968
23,39,24049
24,39,25133
25,39,26213
26,39,27303
27,39,28391
28,39,29485
29,39,30568
30,39,31652
31,39,32737
32,39,33821
33,39,34905
34,39,35985
35,39,37062
36,39,38149
37,39,39227
38,39,40304
39,39,41394
40,39,42477
41,39,43562
42,39,44650
43,39,45736
44,39,46820
45,39,47906
46,39,48995
