,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Evacuation Costs,Total investment costs,Expected Annual Damage other dike rings,Expected Number of Deaths other dike rings,A.3_Expected Annual Damage,A.3_Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3297.0330982341425,34221561.73832255,174754874.54128224,0.042291787966104354,15941677.66000748,0.007835243588950961
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,9,0,0,3,0,0,0,0,0,839.2265255235114,91880874.73868302,64451824.666329145,0.01483980606478463,0.0,0.0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,9,0,0,2,1,0,0,0,0,602.5164029590035,130214603.4411524,30889376.831734195,0.008241677138276754,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,93450.59155313115,61811981.29681894,33692989.3630441,0.0022212833957020875,2564397748.372737,0.3901776158043495
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0.0,34221561.73832255,174754874.54128224,0.11747718879473432,15941677.66000748,0.021764565524863784
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,3,0,0,0,0,0,0.0,96033543.0351415,33692989.3630441,0.018510694964184064,117586096.5477679,0.16141092640753832
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0.0,68419598.02837786,132552252.98654842,0.08823304226164791,15648958.508267825,0.021051665779730735
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,18076.600837753038,67043519.082373,99416661.85641837,0.007753507990472716,440169976.66283333,0.07022211106294637
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0.0,67043519.082373,99416661.85641837,0.06461256658727264,440169976.66283333,0.5851842588578864
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96138.36363646391,30700000.0,132552252.98654842,0.010587965071397748,2412445646.524224,0.3550581564073953
10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46612.539944952194,30700000.0,132552252.98654842,0.03176389521419324,2412445646.524224,1.065174469222186
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,30700000.0,132552252.98654842,0.08823304226164791,2412445646.524224,2.9588179700616277
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,0,0,3,0,0,0,0,0,4328.637432371952,96033543.0351415,33692989.3630441,0.0022212833957020875,117586096.5477679,0.019369311168904595
13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,2863.455948954671,64921561.73832255,157944919.04813644,0.03511794261811264,0.0,0.0
14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77384.09951798705,30700000.0,132552252.98654842,0.013234956339247188,2412445646.524224,0.4438226955092442
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5473.590104490275,34221561.73832255,174754874.54128224,0.01762157831921015,15941677.66000748,0.003264684828729568
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,53358573.6002109,38463134.42574429,0.020214571668309828,2564397748.372737,3.2514801317029134
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,45436.95499781742,53358573.6002109,38463134.42574429,0.007277245800591536,2564397748.372737,1.1705328474130487
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,7,0,0,6,0,0,0,0,0,2267.030287454929,94650719.30020076,42358184.65085788,0.00900661087834111,117586096.5477679,0.058107933506713796
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,75432.44482059532,53358573.6002109,38463134.42574429,0.0030321857502464745,2564397748.372737,0.48772201975543705
